"","year","country_code","phase_number","count","skilled","t","pie","gdp_pc","n","skilled_lag_20"
"149",1988,"UG",1,209,0,46.619,0.788616566846232,4811702.20916804,8.29665071770335,0
"150",2006,"UG",5,575,0.0243478260869565,52.976,0.782040741866829,1436625153.64679,8.05739130434783,0.0243478260869565
"151",2011,"UG",6,538,0.0371747211895911,57.055,0.821729886181559,4084036647.97479,7.61524163568773,0.0371747211895911
"152",2016,"UG",7,1155,0.0476190476190476,61.086,0.850099876073902,7500292585.433,7.24761904761905,0.0476190476190476
"153",1979,"YE",1,217,0.00465116279069767,48.392,0.685255796430912,NA,7.23963133640553,0.00465116279069767
"154",1992,"ZM",2,381,0.0026246719160105,47.097,0.797349380715522,11.6060518270598,8.20472440944882,0.0026246719160105
"155",2007,"ZM",5,444,0.0675675675675676,51.795,0.827604796354796,18011.2524334597,6.95045045045045,0.0675675675675676
"156",2013,"ZM",6,586,0.0767918088737201,58.867,0.838904061429659,51856.9734416554,6.919795221843,0.0767918088737201
"157",2014,"ZM",6,396,0.0732323232323232,59.878,0.855362426574548,65619.4900189191,7.00757575757576,0.0732323232323232
"158",2018,"ZM",7,893,0.0671892497200448,62.12,0.87302427260434,170221.01204663,6.66405375139978,0.0671892497200448
"159",1988,"ZW",1,244,0,61.767,0.874872567296627,1227.09130283147,7.26639344262295,0
"160",1994,"ZW",3,407,0.0172413793103448,54.426,0.888785174012447,946.224013527567,6.79361179361179,0.0172413793103448
"161",2010,"ZW",6,332,0.0391566265060241,48.063,0.913317447278291,948.331852647912,5.03614457831325,0.0391566265060241
"162",2011,"ZW",6,280,0.0607142857142857,50.652,0.934661548768692,1093.65349391771,5.25714285714286,0.0607142857142857
"163",2015,"ZW",7,567,0.107583774250441,58.846,0.929622440072176,1445.07106307379,4.31393298059965,0.107583774250441
